id,question,option_a,option_b,option_c,option_d,correct_option
OIC-186-18-A,"What is a major factor contributing to respiratory allergy in adults, especially when both parents are asthmatic?",Exposure to tobacco from conception,Genetic predisposition due to viral infections,Increased risk of asthma due to exposure to tobacco and indoor air pollution,Alterations to the microbiota of newborn babies,option_a
OIC-186-01-B,What is the primary difference between atopy and allergy?,"Atopy refers to a hereditary predisposition to produce IgE antibodies in response to low doses of allergens, while allergy involves an imbalance between sensitization and tolerance mechanisms.","Allergy corresponds to an imbalance between sensitization and tolerance mechanisms, while atopy is a risk factor for developing immediate hypersensitivity symptoms","Atopy is the most common type of hypersensitivity reaction in adults, while allergy is more common in children","Both atopy and allergy involve IgE antibodies, but atopy does not necessarily result in clinical symptoms",b
OIC-186-19-A,What is the recommended age for prescribing a 'fx5' test for children with suspected respiratory allergies?,Before the age of 6,After the age of 10,At least 1 year old,When there is no suspicion of an allergy,option_a
OIC-186-04-B,What is the approximate prevalence of drug hypersensitivity among the general population?,5%,20%,7%,10%,c
OIC-186-09-B,What is the primary mechanism behind cross-allergies between respiratory and food allergens?,The presence of IgE antibodies in patients with both respiratory and food allergies.,A patient's specific IgG antibodies are responsible for these cross-allergies.,Exposure to similar or highly homologous allergens present in distinct allergenic sources is the primary mechanism.,The presence of IgE antibodies against pollen in a patient with an allergy to fruits also leads to food allergies.,c
OIC-186-15-A,What is a common symptom of allergic conjunctivitis?,Redness,Itching,Tearing,Blurred vision,b
OIC-186-07-A,What is the main allergen responsible for IgE-mediated cow's milk allergy in adults?,Milk before the age of 6 months,Peanuts and egg allergies are common in children,Milk from goats,"Fruits such as apples, bananas, and kiwis",option_a
OIC-186-05-B,What is the main difference between a hymenoptera venom allergy and a bee sting allergy?,Bee stings are less likely to cause anaphylaxis,Hymenoptera venoms contain more allergenic peptides than bee stings,Anaphylaxis is more common in honeybee stings,Hymenoptera venom allergies can be treated with antihistamines only,b
OIC-186-10-B,What is the first step in diagnosing a hymenoptera sting reaction?,Identify the location of the stinger and ask if it's still in place.,Perform an intradermal skin test (IDR) to check for allergy.,Check the subject's medical history for any previous reactions.,Use a venom-specific IgE assay blood test.,Identify the location of the stinger and ask if it's still in place.
OIC-186-12-B,What is the primary indication for carrying out a multi-allergen IgE screening test?,When an allergist cannot be consulted,When an allergic reaction occurs immediately after eating peanuts,When an individual has never been exposed to peanuts before,When the patient is fasting for 12 hours,b
OIC-186-06-A,What is the primary difference between per-annual and seasonal respiratory allergies?,Per-annual pneumallergens are most commonly found in indoor environments,Per-annual pneumallergens are most commonly found in outdoor environments,"Seasonal pneumallergens have a stronger association with pollen from trees, grasses and herbaceous plants",Both per-annual and seasonal pneumallergens can be found in both indoor and outdoor environments,c
OIC-186-17-A,What percentage of children under 5 years old have a food allergy?,4%,6%,8%,10%,b
OIC-186-16-A,What is the recommended first-line treatment for allergic conjunctivitis?,Use of eye drops containing epinephrine,Application of warm compresses,Mast cell degranulation inhibitors in eye drops (such as sodium cromoglicate),Allergy shots for children only,option_a: Use of eye drops containing epinephrine
OIC-186-13-B,What is the main difference between a prick test and a patch test?, ,The allergen is applied directly to the skin,A small quantity of saline is used instead of histamine,Both tests are performed on healthy skin,option_b
OIC-186-14-A,What is the main purpose of a 'projet d'accueil individualisé' (PAI) for a child with food allergy?,To provide information on safe eating habits,To draw up a list of medications to be administered in case of an allergic reaction,To inform parents about the diagnosis and treatment plan,To record medical history for future reference,c
OIC-186-03-B,What percentage of adults have a nut allergy?,15.1%,10.5%,12.8%,9.4%,option_a
OIC-302-03-B,What is the primary risk factor for developing melanoma?,Family history of melanoma,"Sunburn in childhood or sudden, intense exposure to the sun",High number of nevi (>50),Personal history of melanoma,option_b
OIC-302-07-A,What is primary prevention for preventing squamous cell and basal cell carcinomas?,Sunscreen use,Protecting against other skin cancers,Genetic testing,Smoking cessation,A
OIC-302-04-A,What is the typical surgical resection margin size for melanomas?,1.5,2.0,3.0,4.0,b
OIC-302-09-B,What is the primary differential diagnosis to consider when evaluating a patient with a pigmented skin lesion?,Seborrheic keratosis,Basal cell carcinoma,Actinic lentigo,Botryomyocoma,option_b
OIC-302-02-A,What is the main difference between plantar warts and mosaic warts?,"Plantar warts have a more pronounced keratinous ring, while mosaic warts are thinner and less defined.",Mosaic warts tend to be more painful than plantar warts.,Both types of warts can be treated with cryotherapy.,Plantar warts are typically more resistant to treatment than mosaic warts.,a
OIC-302-11-A,What is the key difference between melanoma and basal cell carcinoma?,Melanoma has more aggressive growth,Basal cell carcinoma tends to grow slowly,Melanoma spreads through lymphatic vessels,Both have similar growth patterns,c
OIC-302-08-A,What is a congenital nevus?,"A melanocytic tumor with an irregular surface, typically found on the trunk or limbs.",A benign skin growth that can be present at birth and is usually harmless.,A rare type of skin lesion that covers most of the body and has a high risk of skin cancer.,A genetic disorder that causes an increased number of melanocytes in the skin.,b
OIC-302-01-A,What are the main families of skin tumors?,Basal cell and squamous cell carcinomas,"HPV-induced tumors, basal cell carcinoma",Melanoma and papillomatosis,Epidermoid and keratinoid carcinomas,option_a
OIC-302-12-B,Which of the following is NOT a characteristic of melanoma?,Vertically spread,Lentiginous acral melanoma,Nodular melanoma,A high LDH level,d
OIC-302-13-A,"What is the primary prevention strategy for cutaneous, epithelial, and melanoma tumors?",Limiting exposure to UV radiation during hours of strong sunlight.,Wearing sunscreen regularly.,Avoiding tanning beds entirely.,Protective clothing only.,option_a
OIC-302-10-B,What is the typical age range when common nevi first appear?,2-3 years,4-5 years,1 year,10 years,b
OIC-302-05-A,What is the primary difference between basal cell carcinoma and squamous cell carcinoma?,The location of metastasis,The size of the lesion,The presence of ulceration,The type of skin predisposing factor,b
OIC-302-06-B,What is a common risk factor for poor prognosis in squamous cell carcinomas?,Smoking,Radiation therapy,A family history of skin cancer,Herbal supplements,c
OIC-198-15-A,What is the primary biological test used to diagnose gout?,Uricemia,Serum creatinine with estimated glomerular filtration rate (eGFR),A blood count,Urine analysis for uric acid levels,b
OIC-198-10-A,What is a characteristic feature of microcrystalline arthropathy in gout?,A sudden onset of symptoms,A gradual worsening over weeks or months,A sudden worsening after treatment with uric acid-lowering therapy,The presence of a visible and/or palpable tophus in the joint,d
OIC-198-19-A,"A patient is prescribed low initial dose, gradual monthly increase of microcrystalline arthropathies medication. What should be the first step in managing this condition?",Increase uricemia to 80 mg/l,Decrease alcohol consumption,Gradually increase sugar intake,Stop taking the medication altogether,b
OIC-198-23-B,What is the primary goal in treating Acute Hydroxyapatite Crystal Attack?,To reduce inflammation,To eliminate crystals from the joint,To increase blood flow to the affected area,To suppress the immune system,to reduce inflammation
