question,cop,opa,opb,opc,opd,subject_name,id,prediction
Commonest skin infection in children is -,B,Scabies,Impetigo contagiosa,Molluscum contagiosa,Was,Skin,c12ebbce-4efe-4e43-b941-c0be825b4130,B
"Height of a newborn doubles at:September 2005, March 2010",D,1 year,2 year,3 year,4 year,Pediatrics,1cd3480d-2c10-4e18-bf72-28ed3372ca93,B
Glomus cells are derived from ?,B,Surface ectoderm,Neuroectoderm,Mesoderm,Endoderm,Anatomy,9c6972c2-0f81-4e52-9296-d536782963f5,C
Which of the following nerve not present lateral to cavernous sinus?,D,3rd nerve,4th nerve,opthalmic nerve,abducens nerve,Anatomy,bd51f376-3cd7-4946-82a1-ab351bf2411a,D
Costochondral joint is an example of,B,Fibrous joint,Primary cailaginous joint,Secondary cailaginous joint,Synol joint,Anatomy,a9f1cc9a-f8e5-4179-ab2c-df18533c0c35,B
Which of the following describes cells that are abnormal in appearance and may become premalignant?,B,Aplasia.,Dysplasia.,Karyomegaly.,Pleomorphism.,Pathology,c427e030-4c75-440a-8fa0-0aec41600cfa,B
The Psychological disorder most commonly associated with myxedema,B,Mania,Depression,Phobia,Paronia,Psychiatry,b6ebf1ab-9bba-4c56-98e6-aca8e8fe8dcb,B
"""Caspases"" are involved in:",A,Organogenesis,Fatty change,Hydropic degeneration,Collagen hyalinosis,Pathology,3e97d603-9923-4673-a755-c0726c807c60,A
"The definition of premature ejaculation, according to DSM-5 is, ejaculation occurring in less than-",A,1 min,2 min,3 min,5 min,Psychiatry,f2af1ddf-626c-4a41-8581-fcaf601ca65f,A
Not a feature of Mature Senile Cataract among the  following is,D,Pearly white colored,Diminision of Vision,Glare,Iris shadow,Ophthalmology,d361ab82-abc2-4160-92bd-8e336270aee9,D
Bipolar II disorder includes ?,D,Cyclothymic disorder,Dysthymia,Single maniac episode,Major depression and hypomania,Psychiatry,40ff3b56-cc5a-4e7f-9cf5-49a75919de67,D
Snellen's chart is used to test?,A,Visual acuity,Contrast sensitivity,Visual fields,Colour vision,Ophthalmology,de25a62b-4c67-4a26-91c2-ac06c34405c4,A
Noradrenergic neurons are chiefly present in:,A,Locus ceruleus,Nucleus accumbens,Nucleus raphe magnus,Nigrostriatal pathway,Physiology,98c3915b-06e5-4a6f-a22b-e857329bd2ec,A
The aerial blood glucose concentration in normal humans after a meal is in the range of,C,30 to 50 mg/dL,50 to 70 mg/dL,120 to 150 mg/dL,220 to 250 mg/dL,Anatomy,2cf55062-9eb0-4341-b5ff-b73da3a17f48,C
Epley's test is used for?,A,Benign paroxysmal vertigo,Basilar migraine,Orthostatic hypotension,Thoracic outlet syndrome,ENT,4546a1ec-61a8-4cce-ad74-88b704bec98c,A
Drug causing hirsuitism and gynaecomastia,A,Spironolactone,Rifampicin,Penicillin,Bumetanide,Pharmacology,a49c9584-7c17-48f0-9959-46e9971bee08,A
Test to detect spermine in semen is,A,Barberio test,Ammonium molybdate test,Acid phosphatase test,Florence test,Forensic Medicine,1045ee5a-c07e-435f-9833-9c64b7172be3,D
Dehydrogenation of succinic acid to fumaric acid requires the following hydrogen carrier:,C,NAD+,NADP+,flavoprotein,Glutathione,Biochemistry,c0cfc236-6a7f-4351-87e9-371823a2865a,C
Which of the following cranial nerve can be visualised on plain CT scan?,A,Optic,Trigeminal,Facial,Hypoglossal,Radiology,ea531e4a-3d90-4344-9bc2-0d799b2cdc17,B
Not the signs of accidental injury in a child: CMC (Vellore) 10,A,Subdural hematoma,Abrasion on the knees,Swelling in the occiput,Bleeding from the nose,Forensic Medicine,b1b27cac-4175-44da-95e7-091b8c0139b0,B
Ghrelin stimulates the release of which hormone?,D,PTH,LH,Prolactin,Growth hormone,Physiology,a46aa4f0-954f-40eb-819c-181f283aadb0,D
Thrombosthenin is a/an,B,Thrombosis preventing protein,Contractile protein,Coagulation protein,Protein for regulating platelets production,Physiology,9f4edd48-42e7-4209-bf31-c11aa636fe47,B
A 3 year old child has eczematous dermatitis on extensor surfaces. His mother has a history of Bronchial asthma. Diagnosis should be,A,>Atopic dermatitis,>Contact dermatitis,>Seborrhic dermatitis,>Infantile eczematous dermatitis,Skin,400818b7-450b-4226-9ba5-435aa63f3b81,A
Transference resolved by,D,Inter-personal psychotherapy,Client based psychotherapy,Cognitive Behaviour Therapy,Psychodynamic psychotherapy,Psychiatry,ed709cac-a2fc-40ec-b02c-a5a8a8e7d556,D
Source of vitamin B12?,A,Animal source,Plant source,Milk,Fruits,Pathology,b12fd27f-85d6-4b32-b59d-aea4201280cb,A
"A nonspore-forming, gram-positive bacillus was isolated from a throat specimen from a primary school-aged child who had not been vaccinated with the DTaP vaccine. The strain isolated carried a bacteriophage on which the gene for toxin was encoded. How did this strain become toxigenic?",D,Conjugation,Frameshift mutation,Homologous recombination,Transduction,Microbiology,99e6febb-d448-4f5e-ada4-abedaf3da01c,D
In which year did ESI came into effect?,A,1948,1958,1960,1975,Social & Preventive Medicine,c0f00efe-8937-473e-8a72-3fc7e1494cea,A
Reversal lepra reaction shown no response to :,D,Cloafazimine,Chloroquine,Glucocoicoids,Thalidomide,Skin,38670af3-129a-4e72-9144-3e9671ecc3b8,B
Maximum dose of isotretinoin should not exceed,D,30-60mg/kg,60-90mg/kg,90-120mg/kg,120-150mg/kg,Dental,a18d6ef8-9d21-472d-8a4d-b267813bb205,C
Opening of nasolacrimal duct is situated in:,D,Superior meatus,Middle meatus,Ethmoid infundibulum,inferior meatus,ENT,f6b70d7c-7ed3-45c3-ba82-9b7e2add4637,D
"A diabetic patient presents with bloody nasal discharge, orbital swelling and pain. The culture of periorbital pus showed branching septate hyphae. Which of the following is the most probable organism involved",C,Mucor,Candida,Aspergillus,Rhizopus,Microbiology,e19dda4a-eb12-4c33-a86f-0f0881026ea4,C
Febrile seizure persisting continuously beyond ____ should be treated with midazolam nasal spray:,B,3 minutes,5 minutes,8 minutes,10 minutes,Pediatrics,f1c799a2-ee63-4ed7-954e-908de7f765c5,B
Which layer of epidermis is underdeveloped in the VLBW infants in the initial 7 days?,D,Stratum germinativum.,Stratum granulosum,Stratum lucidum,Stratum corneum,Skin,2ad18b50-d25a-4b95-b578-8a067f142974,D
Among the following anaesthetic drug/inducing agents which should be avoided in a patient with a history of epilepsy,C,propofol,Thiopentone,Ketamine,Midazolam,Anaesthesia,21741fa8-0cd2-4e99-9ba2-2910550788d0,C
Vision not affected in ?,A,Papilloedema,Keratitis,Optic neuritis,Retinoblastoma,Ophthalmology,eb29ea11-46ab-4787-b5a5-5cd2b8c20e81,A
Landmark of geniculate ganglion for facial nerve decompression:,B,Pyramid,Processus cochleariformis,Incus neck,Oval window,ENT,a6540fe3-e8f6-444f-b9aa-ffe6fd461551,B
Arrange the following preparations in increasing order of their resisting area,C,A < B < C,B < A < C,C < B < A,C < A < B,Dental,2fc1752b-5995-4b1e-a753-034ff3509891,B
Vomiting centre,A,Area postrema,Suprachiasmatic,Medial nuclei,Laternal nuclei,Physiology,07411ead-e50e-47f0-95b9-1e77847db011,A
The gene that regulates normal morphogenesis during development is :,B,FMR-1 gene,Homeobox gene.,P-16,FTEN.,Pathology,446f9a49-7e0c-4230-bff4-6a8e221bebb7,B
Which of these antihypeensives do not have any central action?,D,Propranolol,Methyl dopa,Minoxidil,Nitroprusside,Pharmacology,2ea63d68-9bde-4918-95d0-f16e75a3d9fd,C
Which of the following causes maximum hearing loss?,C,Complete obstruction of ear canal,Perforation of tympanic membrane,Ossicular interruption with intact tympanic membrane,Ossicular interruption with perforation,ENT,abe18599-5271-4584-b862-4e7f317c12f4,D
Which of the following teeth erupt earlier in upper jaw,B,Central incisor,Lateral incisor,Canine,First molar,Forensic Medicine,ebeeb45e-a36a-4bb7-b441-f3d28c7a4777,A
Induction agent of choice in a child with cyanotic heart disease -,B,Thiopentone,Ketamine,Halothane,Midazolam,Anaesthesia,61067a73-acec-4c3a-b512-a31fc11d33ec,B
Saccadicc eye movement is controlled by:,D,Parietal lobe,Prefrontal lobe,Temporal lobe,Frontal coex,Physiology,0c0d2be2-f83a-44ab-9a90-afa375f7166a,D
A blood stained discharge from the nipple indicates one of the following,C,Breast abscess,Fibroadenoma,Duct papilloma,Fat Necrosis of Breast,Surgery,407d0cc5-030f-4e83-8a55-138a89f79cc4,C
Characteristic feature of Goodpasture's syndrome,B,Lumpy-bumpy deposits on immunofluorescence,Serum antibodies against alpha 3 NC1 domain of collagen - IV,Serum antibodies against alpha 1 NCI domain of collagen III,Anti DNAse antibodies positive,Pathology,8d9a9100-31de-4735-bd40-479d139c0e63,B
What percentage of pheochromocytomas are malignant?,B,5,10,20,15,Pediatrics,5537d615-26a7-4b71-9c30-4f5dfebfdf1d,B
One of the following document is specific about compelling a witness to produce documents?,C,Subpoena,Subpoena Ad Testificandum,Subpoena Duces Tecum,Summons,Forensic Medicine,d53260e9-a874-45ba-a7fd-c93618551d64,C
The antibiotic tetracycline:,D,Is bactericidal drug.,Is a safe drug for administration irrespective of age and sex of the patients.,Is also administered along with penicillin.,Is a broad-spectrum antibiotic.,Pharmacology,83339ca9-c3b7-470d-8846-b49acacfb311,D
Which of the following drugs cause oligospermia?,D,Leflunomide,D-Penidillamine,Methotrexate,Sulfasalazine,Pharmacology,e7f270f3-698d-4f72-b59c-ccdfa89a3d0c,D
"On MR-spectroscope, at 3.2ppm which peak is seen?",D,Lipid lactate,N-acetyl aspaate,Creatinine,Choline,Radiology,fa12d95d-27e7-42c4-ab34-05b935075e5c,D
"A young adult presented with diminished vision. On examination he has anterior uveitis, vitritis, focal necrotizing granuloma, macular spot. What is the most probable diagnosis?",D,Proteus syndrome,White dot syndrome,Multifocal choroiditis,Ocular toxoplasmosis,Ophthalmology,588b3f85-babe-4dd3-910f-902d38cf9efb,D
Tear drop sign is seen in ?,D,Fracture zygomatic arch,Fracture maxilla,Fracture mandible,Blow out fracture,ENT,e2dd5853-976b-40ec-953b-a401634ed247,D
Chromophobe variant of Renal cell carcinoma is associated with :,D,VHL gene mutations,"Trisomy of 7 and 17 (+7, +17)",3 p deletions (3p-),"Monosomy of 1 and Y (-1, -Y)",Medicine,3108d46c-1f13-4336-8d68-65718083cd21,D
Which type of vaccine is MMR?,A,Live attenuated,Killed,Toxoid,Subunit,Social & Preventive Medicine,2ef2cdc0-e638-4f84-87de-6a602b4918c9,A
Epidemo keratoconjunctivitis is caused by?,B,HSV,Adenovirus,Chlamydia,HIV,Ophthalmology,1e0e01bf-e9ae-4322-b40f-dfe5d317ce72,B
A patient with pulmonary fibrosis comes to emergency with arrhythmia. Which anti-arrhytmia drug should be avoided?,C,Lignocaine,Procainamide,Amiodarone,Verapamil,Medicine,9e7069da-db73-4117-9f09-d2efa6c9afa7,C
Isolation is strictly recommended for,D,Mumps,Measles,Hepatitis A,Pneumonic plague,Social & Preventive Medicine,ff95e648-de05-4ad4-b42b-d8eaf7bd7fd5,D
Muscle relaxant of choice in patient suffering from chronic liver disease,B,Pancuronium,Atracurium,Mivacurium,Vecuronium,Anaesthesia,cda02f98-ba04-488a-b315-7ff0faa4938c,B
A child patient comes to OPD with history of black central arch rashes on his body. What is your diagnosis?,A,Meningococcemia,Dengue hemorrhagic fever,Leptospirosis,Scrub typhus,Skin,24987b13-899e-404d-a2f5-46f486f314ce,A
Bulbocavernosus reflex is elicited by A/E -,D,Glans pens,Clitoris,Tug of foley catheter,Perianal,Orthopaedics,2ae544ed-532c-435b-8dcc-2b59a7a8c9af,C
"Angiotensin conveing enzyme inhibitors when used for a long time in patients with hypeension, cause:",B,Rightward shift in renal pressure-natriuresis curve,Reduction in glomerular filtration fraction,Significant increase in hea rate,No change in compliance of large aeries,Pharmacology,df34e86c-73ae-4d1e-bc34-71c6df5d93c1,B
"An 8-year-old boy from an impoverished inner-city area has never been vaccinated appropriately. He develops fever, cough, and coryza. The next day, blue white spots develop on the buccal mucosa. On the third day, an erythematous, nonpruritic maculopapular rash develops on the face and spreads over the entire body. Which of the following is the most likely complication?",C,pneumonia,encephalitis,otitis media,bronchitis,Medicine,7432d85b-b7f3-4631-90ff-b6d77962fc40,A
Which is not a function of PHC ?,C,Medical care,Referral services,Advanced Laboratory services,MCH,Social & Preventive Medicine,4abfe418-10d4-4c53-ba82-8b80203ac019,C
Antidote for acetaminophen poisoning is?,A,N-Acetyl cysteine,N-Glycolamine,Penicillamine,Fomipezole,Forensic Medicine,9a0577e5-75e4-4632-8ba7-c3f5b874284e,A
Number of optical isomers possible for Glucose is,D,2,4,8,16,Biochemistry,226cad19-ed53-4052-b25c-295f61a42812,C
"A patient presents with B/L proptosis, heat intolerance and palpitations; most unlikely diagnosis here would be -",C,Hoshimoto's thyroiditis,Thyroid adenoma,Diffuse thyroid goitre,Reidel's thyroiditis,Surgery,d22b0382-c6c3-41ca-852e-d8df37d9eeea,D
Spore rorming anaerobic gram positive bacilli,B,Bacillus Anthracis,Clostridia,Corynebacterium,Peptostreptococcus,Microbiology,38e4246e-43e5-4aa7-9550-d499a6664cc1,B
A 30 year old man had a road traffic accident and sustained fracture of femur. Two days later he developed sudden breathlessness. The most probable cause can be:,D,Pneumonia,Congestive heart failure,Bronchial asthma,Fat Embolism,Orthopaedics,ac62e559-32c1-489b-9fd8-68a36644e72c,D
Wernicke's hemianopic pupillary response is seen in lesions at :,A,Optic tract,Optic chiasma,Optic radiation,Lateral geniculate body,Ophthalmology,f36f2981-0b3a-4c89-adaf-00fe8b756a88,A
Hat sign on double contrast barium enema is seen in –,B,Ulcer,Polyp,Carcinoma,Diverticulum,Radiology,f4df6aa4-b646-4129-989c-8a1cca5fb987,C
Synergohymenotroic toxins of Staphylococcal consists-,C,oc toxin,3 toxin,y toxin,8 toxin,Microbiology,85b56505-6821-45b8-bed6-9d9aa3e67472,C
chocking of respiratory passage by bolus of food ?,C,Gaging,Overlying,Cafe coronary,Burking,Forensic Medicine,f973369c-4a69-4373-b1f8-93d04452a1e5,C
Gluten-free diet is beneficial in,A,Dermatitis herpetiformis,Pemphigus vulgaris,Psoriasis,Exfoliative dermatitis,Dental,f55705c5-f4e3-4c6f-8066-b2a4cc5edfb7,A
Which of the following is not a type of balance in complete denture occlusion.,A,Bilateral lever balance,Unilateral occlusal balance,Bilateral occlusal balance,Protrusive occlusal balance,Dental,c0ad2016-1a56-41ba-ba7e-f9df46bc8b84,A
Which contrast agent is given in perforation peritonitis?,A,Iohexol,Iodixanol,Diatrizoate,Metrizoate,Radiology,19b22019-2602-47cf-97b0-5fa39dedd1af,C
"A 25-year-old girl presents with papules, erythema and telangiectasiae over the face as shown below. She also gives a history of flushing and burning sensation on exposure to sun and on any emotional disturbance. The most likely diagnosis is:",B,Acne vulgaris,Rosacea,Systemic lupus erythematosus,Scabies,Skin,05355cde-eebd-4ba3-9691-6eff055e4dfb,B
Mikulicz and Russell bodies are characteristic of?,A,Rhinoscleroma,Rhinosporidiosis,Plasma cell disorder,Lethal midline granuloma,ENT,997df819-479e-49d0-b59b-ad016d0d3e8d,C
Testamentary capacity refers to: AP 10; NEET 15,A,Ability to make a valid will,Criminal liability,Right to vote,Ability to give evidence,Forensic Medicine,c393c1e7-afc5-45e5-b401-e816bd3c42cb,A
Apple-jelly nodules is/are seen in:,A,Lupus vulgaris,DLE,Lichen planus,Psoriasis,Skin,4d94fb8f-f3be-4392-a555-2256015f61d4,A
Acute fluoride toxicity is seen at,B,5 mg,5 grams,5.5 mg,55 grams,Dental,fecd2219-0338-4015-a2ac-e1847a2dafc5,B
Regression of mile stones occur after normal development upto _______ in Rett's disease,A,5 months,1 year,2 years,1 months,Psychiatry,e436f2e7-0437-4dc5-8cd0-4386948212fd,B
Amount of invisible fat in rice is:,C,1%,2%,3%,5%,Social & Preventive Medicine,f72449a0-1edd-4c2f-abd1-a4712d5f1c20,B
Which of the following is ester local anesthetics -,A,Cocaine,Lidocaine,Mepivacaine,Prilocaine,Anaesthesia,0405c941-53be-48f4-b732-7527a67fa6e5,A
What is the color of normal amniotic fluid during term delivery?,C,Milky to yellowish green with mucus flakes,Dark brown,Straw colored,Golden color,Gynaecology & Obstetrics,bbba94ae-7ad8-4bd3-b263-e37e21459ded,C
Fluctuating deafness is seen in:,B,Otosclerosis,Meniere's disease,Acute otitis media,Benign paroxysmal positional vertigo,ENT,75fe458d-6caa-4863-a66e-ca288716104a,B
Lisch nodule is seen in: September 2012,A,Von-Recklinghausens disease,Motor disease,Myasthenia gravis,Drug induced myopathy,Skin,5b8597e5-0aeb-484c-90f4-8d697a335b48,A
"Blood stained discharge from nipple is indicative of: March 2013 (a, b, d, e)",B,Paget's disease,Duct ectasia,Solitary intraalveolar papilloma,Lobular carcinoma,Surgery,7a86fdf9-764a-40b2-97a2-213a85dd11c5,C
"Protein attached to 'Z' line in cardiac muscle, which is responsible for elasticity is",C,Troponin,Tropomyosin,Titin,Actin,Physiology,27370e43-ed83-443b-baca-3da63165ac8e,C
Burton’s agammaglobulinemia is due to?,A,B-cell defect,IgA deficiency,Ig M deficiency,Ig G deficiency,Pathology,f1a66a12-4f98-4ebd-9385-486cbbe81833,A
In which of the following deformities is the distal interphalangeal joint flexed and proximal interphalangeal joint extended?,B,Boutonierre Deformity,Swan neck deformity,Z deformity,Claw hand,Orthopaedics,a25d478b-e65b-4964-a035-2a93d67577b7,B
Contraindication for laryngeal mask airway is,B,Empty stomach,Hiatus hernia,Minor surgery,Young age,Anaesthesia,f0251eb0-f3b6-4281-98c4-8494811a913d,B
Net Protein utilization of fish is-,C,57%,67%,77%,87%,Social & Preventive Medicine,18d2f7c4-a620-4cf9-a8e8-6b74a697257d,C
The uvrABC endonuclease is involved in which one of the following processes?,C,DNA replication,RNA splicing,DNA repair,DNA recombination,Biochemistry,971ec804-f149-47c6-b376-e7288fbf0af8,C
USG sign of fetal death:a) Halo' sign of headb) Heart beat absentc) Spalding signd) Hegar's sign,D,a,c,ac,bc,Gynaecology & Obstetrics,3a15592b-557d-4953-abd5-22f0df891d81,D
Hyoid fracture is common in -,C,Hanging,Strangulation,Throttling,Chocking,Forensic Medicine,887ad206-c11b-45ab-8a37-ea924e05aa7e,B
"On per vaginal examination, anterior fontanelle and supraorbital ridge is felt in the second stage of labor. The presentation is:",A,Brow presentation,Defiexed head,Flexed head,Face presentation,Gynaecology & Obstetrics,3f8af85e-ab37-4166-8a00-1bfef605431b,A
