id,question,option_a,option_b,option_c,option_d,correct_option
OIC-284-02-A,What is a common symptom of functional bowel disorders that has been consistently associated with defecation and stool frequency changes?,Constipation,Diarrhea, ,Infrequent bowel movements,b
OIC-284-04-A,What is a common symptom of functional colorectal disease?,Constipation,Anxiety attacks,Unusual flatulence,Migraines,a
OIC-284-03-B,What is the estimated prevalence of functional colorectal disease among the general population worldwide?,0.2%,"4% - incorrect option, actually 5%","10% - incorrect option, actual range from 1-15%","20% - incorrect option, prevalence is generally lower than this",4%
OIC-284-08-A,What is the main goal of therapeutic management for functional colorectal disease?,1,2,3,4,3
OIC-284-05-A,What should prompt a colonoscopy due to clinical warning signs?,Family history,Low blood pressure,High cholesterol levels,"The presence of certain symptoms, known as clinical warning signs, should prompt a colonoscopy to rule out organic causes.",option_a
OIC-284-07-B,What does the presence of metformin (option A) or colchicine (option B) in a patient's medication list increase the risk of developing functional colopathy?,A,B,C,D,A
OIC-284-06-B,What are the main indications for colonoscopy?,Presence of clinical warning signs,Diarrhoeal symptoms,Abnormalities on clinical examination,Biological abnormalities,option_a
OIC-288-02-B,What percentage of the French population experiences some form of hemorrhoidal pathology?,15%,30%,40%,60%,d
OIC-288-09-B,What else can account for iron deficiency anemia in patients with internal haemorrhoids?,Gastrointestinal infections,Preeclampsia,Hemorrhoidal Pathology,Vitamin D deficiency,b
OIC-288-04-A,What is true about the internal hemorrhoidal plexus?,The internal hemorrhoidal plexus can be seen during an endocanal examination.,External hemorrhoidal thrombosis affects only external haemorrhoids.,Haemorrhoids cannot be palpated due to the absence of the anal touch.,The internal hemorrhoidal plexus is formed by an inflammatory response in cases of rectal inflammation.,option_a: correct option_a is true according to the educational content. 
OIC-288-14-A,What is the general guideline for treating symptomatic hemorrhoids?,Haemorrhoid treatment should be started immediately if symptoms persist.,Haemorrhoid treatment should only be limited to mild cases of discomfort.,Symptomatic hemorrhoids can be treated with a single medication injection every month for the rest of their life.,Haemorrhoidal surgery is necessary in all cases of internal hemorrhoidal disease.,option_b
OIC-288-17-B,What is the typical rate of resorption for external haemorrhoidal thrombosis?,Days,Weeks,Months,Years,Days
OIC-288-08-B,What is the primary cause of external hemorrhoidal thrombosis?,A. Poor digestion and constipation,B. Diabetes mellitus,D. Overuse of recreational sports equipment,C. Eating spicy food,A
OIC-288-01-A,What is the main purpose of forming a porta-systemic anastomosis between hemorrhoids?,To facilitate blood flow,To aid in waste removal,To improve blood pressure regulation,None of the above,d
OIC-288-05-A,What is typically required for diagnosis?,Aerosolized Opioids,Anoscopy for acute phase,External anal hemorrhoidectomy,Bleeding into the rectum during acute phase,b
OIC-288-03-B,What is a key feature of hemorrhoidal disease?,A temporary condition that comes and goes without affecting symptoms,"A sign of the vascular theory, characterized by sudden red bleeding",An anatomical correlation between symptoms and morphological changes in haemorrhoids,A temporary condition that lasts for several weeks or months,c
OIC-288-07-B,What is the correct way to distinguish between external haemorrhoidal thrombosis and internal haemorrhoids?,Use a rectal examination,Perform a sigmoidoscopy,Relaxation therapy,Internal hemorrhoid surgery,A
OIC-288-13-A,What is the correct approach for managing haemorrhoids?,Dietary exclusion diets are not effective,Local topicals containing agents capable of reducing inflammation and promoting healing are offered as short courses of treatment,"Incision or excision is often performed without any follow-up, whereas alternative treatments like NSAIDs and corticosteroids require a longer period to show results",Non-steroidal anti-inflammatory drugs can be prescribed for external haemorrhoidal thrombosis as an alternative treatment.,option_b
OIC-288-12-B,What is a major risk factor for hemorrhoidal pathology?,A. Poor diet,B. High blood pressure,D. Lack of exercise,E. Obesity to excess fat intake,E.
OIC-288-16-B,What should be considered when selecting a surgical treatment for hemorrhoids?,The patient's overall health and age at presentation should be taken into account.,The surgeon must consult with the patient to explain all potential complications of each treatment option.,Tissue from the patient's own buttocks can be used in surgical repair.,The patient's insurance coverage will determine which treatment options are covered.,option_a
OIC-288-06-A,What is the main difference between a hemorrhoidal crisis and chronic anal pruritus?,Haemorrhoidal crisis involves pain while anal pruritus does not,Both are caused by an anal fissure,"Chronic anal pruritus may indicate cancer of the rectum, whereas a hemorrhoidal crisis is often due to internal haemorrhoids.",Haemorrhoidal tissue is divided into grades based on the presence of prolapse inside the anus during pushing.,c
OIC-288-15-A,What is a common cause of external haemorrhoidal thrombosis?,Spontaneous rupture of an overlying hemorrhoid,External trauma to the anal area,Eating too much raw cabbage,Prolonged sitting for extended periods,option_a
OIC-256-06-A,Which of the following is NOT a benefit of regular physical activity in children?,Improved mental health,Increased risk of heart disease,Involvement in competitions as a child,Cardiovascular problems,b
OIC-256-01-A,What must be included in a medical certificate for a federal sports licence?,A note about the sport,The duration of the competition not exceeding one month.,A statement that the contraindication is due to excessive weight gain from consuming beer during training.,No mention of any medical examination or assessment.,option_a
OIC-256-05-A,What is the main cause of arrhythmia during exercise?,Hypertrophic cardiomyopathy,Unbalanced respiratory diseases,Cardiac rhythm disorders,Myocarditis,option_a
OIC-256-10-B,What should be the carbohydrate intake schedule for endurance sports?,Foods with a low glycaemic index,Foods with a high glycaemic index,Carbohydrate supplementation before exercise,No specific guidance provided in the content,option_b
OIC-256-03-B,What is a typical age recommendation for the first ECG for young individuals from the French Society of Cardiology?,12 years old,18 years old,20 years old,25 years old,b
OIC-256-09-B,What is the recommended daily intake of slow carbohydrates for a child athlete?,2 whole macronutrients per meal,4 cereal products,3-5 kilograms of fruits/vegetables/day,6 hours before competition,b
OIC-256-04-B,What is to be considered when assessing a child's suitability for sport practice?,Assess their overall physical activity level,Examine the impact of sports on their living conditions,Ensure they have a balanced diet and sufficient sleep,Evaluate their growth curves and puberty progression,a
OIC-256-08-B,What is the primary requirement for most adult athletes?,Increase protein intake,Incorporate more fruits and vegetables,Reduce carbohydrate consumption,Eat only lean proteins with very little fat,c
OIC-256-07-B,What is the primary location where Sever's disease usually occurs in children?,Posterior apophysis of the calcaneus,Anterior tibial tuberosity,Lateral femur,Medial malleolus,option_a
OIC-256-02-B,What is the minimum age for full exemption from physical education in schools?,18,19,17.5,16,b
OIC-256-11-A,What is a common symptom that may be suggestive of cardiovascular pathology during exercise?,Chest pain,Tall tales about exercise are normal,Discomfort and/or loss of consciousness,Shortness of breath for the intensity of the exercise,c
OIC-325-01-A,What is NOT an example of an adverse drug reaction?,Taking the medication on a plane without a valid prescription,Using the medication to treat a serious medical condition,Experiencing a side effect while sleeping,Using the medication in conjunction with another medication that is not registered or authorized for use together,option_a
OIC-325-17-A,What is the main purpose of checking for the patient's identity before administering medication in a hospital setting?,"To ensure accurate medication administration,","To verify whether the medicine to be administered matches the prescription,","To monitor if the doctor has been present during the treatment,",To identify which staff member is authorized to administer certain medications.,To verify whether the medicine to be administered matches the prescription
OIC-325-18-B,What does 'counterfeit medicines' mean in the context of medicine?,A product that is made from scratch by a pharmacist,A medicine whose identity has been altered or invented,"A medicine that is safe, effective and well-marketed",A medicine with incorrect ingredients,b
